item_type,name,category,status,reason,access_mode,requires_env,local_hints
database,COSMIC,clinical_genomics,restricted_download,Database status checked without crashing.,restricted_download,COSMIC_USERNAME;COSMIC_PASSWORD,
database,ClinicalTrials.gov,clinical_genomics,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,DisGeNET,clinical_genomics,restricted_api,Database status checked without crashing.,restricted_api,DISGENET_API_KEY,
database,GTEx,clinical_genomics,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,OMIM,clinical_genomics,restricted_api,Database status checked without crashing.,restricted_api,OMIM_API_KEY,
database,TCGA / GDC,clinical_genomics,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,cBioPortal,clinical_genomics,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,BindingDB,compound_bioactivity,registered_but_unavailable,Database status checked without crashing.,api_and_download,,
database,ChEMBL,compound_bioactivity,registered_but_unavailable,Database status checked without crashing.,api_and_download,,
database,IUPHAR/BPS Guide to Pharmacology,compound_bioactivity,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,PubChem,compound_bioactivity,registered_but_unavailable,Database status checked without crashing.,api_and_download,,
database,Europe PMC,literature_patent,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,Lens.org,literature_patent,restricted_api,Database status checked without crashing.,restricted_api,LENS_API_KEY,
database,OpenAlex,literature_patent,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,PubMed,literature_patent,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,Semantic Scholar,literature_patent,restricted_api,Database status checked without crashing.,restricted_api,SEMANTIC_SCHOLAR_API_KEY,
database,SureChEMBL,literature_patent,restricted_api,Database status checked without crashing.,restricted_api,SURECHEMBL_API_KEY,
database,BioGRID,ppi_e3,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,Complex Portal,ppi_e3,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,E3Net,ppi_e3,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,IntAct,ppi_e3,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,PhosphoSitePlus,ppi_e3,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,STRING,ppi_e3,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,UbiBrowser,ppi_e3,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,UbiNet,ppi_e3,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,MagnetDB / MGDB / MolGlueDB,protac_glue,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,PROTAC-PatentDB,protac_glue,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,TPDdb,protac_glue,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,AlphaFold DB,structure,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,Binding MOAD,structure,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,PDBbind,structure,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,RCSB PDB,structure,registered_but_unavailable,Database status checked without crashing.,api_and_download,,
database,UniProt,structure,registered_but_unavailable,Database status checked without crashing.,api_and_download,,
database,CPTAC / Proteomic Data Commons,target_biology,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,DepMap,target_biology,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,Human Protein Atlas,target_biology,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,Open Targets,target_biology,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,PRIDE,target_biology,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,ProteomicsDB,target_biology,registered_but_unavailable,Database status checked without crashing.,api_live,,
database,ChemDiv,vendor_libraries,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,Enamine REAL,vendor_libraries,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,Enamine TPD libraries,vendor_libraries,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,MolPort,vendor_libraries,restricted_api,Database status checked without crashing.,restricted_api,MOLPORT_API_KEY,
database,ZINC,vendor_libraries,registered_but_unavailable,Database status checked without crashing.,download_local,,
database,eMolecules,vendor_libraries,restricted_api,Database status checked without crashing.,restricted_api,EMOLECULES_API_KEY,
module,ADMETlab 3.0,admet_toxicity,web_only,Web-service tool registered; no local executable detected.,web,,
module,DeepPurpose,admet_toxicity,python_package_missing,Required Python packages are missing.,python_package,,DeepPurpose
module,OpenADMET,admet_toxicity,web_only,Web-service tool registered; no local executable detected.,api,,
module,ProTox-II,admet_toxicity,web_only,Web-service tool registered; no local executable detected.,web,,
module,SwissADME,admet_toxicity,web_only,Web-service tool registered; no local executable detected.,web,,
module,Therapeutics Data Commons,admet_toxicity,python_package_missing,Required Python packages are missing.,python_package,,tdc
module,pkCSM,admet_toxicity,web_only,Web-service tool registered; no local executable detected.,web,,
