workflow_step,agent_name,current_file,callable_or_class,input_type,output_type,current_status_label,real_output_generated,stub_or_heuristic,current_limitation,required_component,candidate_repo_or_tool,candidate_database,required_dependency,build_priority,implementation_effort,scientific_importance,safety_risk,next_action,test_required,claim_allowed_now,claim_allowed_after_integration,candidate_score_provenance_required,candidate_score_evidence_type_required,candidate_score_tool_status_required,candidate_score_uncertainty_required,forbidden_claim_test_required
1,Target Resolver Agent,synglue_agent/agents/target_agent.py; synglue_agent/tools/protac_toolbox.py,TargetResolverAgent.run; ProtacDesignToolbox.resolve_target,"WorkflowState.parsed_objective.target_name, target_uniprot_id",TargetRecord,executable_not_tested,"yes, target metadata may be returned from local table or safe wrapper path",local/API wrapper with fallback behavior,Falls back to local curated seed and may use online wrappers when called by workflow; not audited here as smoke-verified executable.,Schema-validated target resolver with explicit source and no silent fallback claims,"UniProt wrapper, ChEMBL target wrapper, RCSB PDB wrapper, Open Targets planned","UniProt, ChEMBL, RCSB PDB, Open Targets","requests/urllib, local curated_targets.csv, optional network config",P1_core_required,M,high,medium,Route target resolution through source-labeled resolver and record provenance per field.,Unit tests with mocked UniProt/ChEMBL/RCSB responses plus local fallback labeling tests.,May claim target was resolved from stated local/API source; may not claim externally verified identity unless wrapper succeeded.,"May claim evidence-backed target resolution with source URLs, confidence, and fallback limitations.","Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if executable_not_tested is counted as executable_verified or if local fallback is described as external verification.
2,Binder Retrieval Agent,synglue_agent/agents/binder_agent.py; synglue_agent/tools/protac_toolbox.py,TargetBinderRetrievalAgent.run; retrieve_known_binders; mine_external_binders,TargetRecord plus potency threshold and activity types,list[BinderRecord],local_demo_data_only,"yes, local/demo binder records may be returned",local curated/demo mining,Uses curated warhead CSV and external seed CSV; ChEMBL/DrugBank/BindingDB paths are wrappers or conditional and not proven in this audit.,Executable binder-mining adapters with source-normalized activity records,"ChEMBL wrapper, BindingDB loader/API, DrugBank licensed local CSV, PubChem helper","ChEMBL, BindingDB, DrugBank, PubChem, PROTAC-DB","local BindingDB TSV or API, ChEMBL/PubChem wrappers, licensed DrugBank CSV if used",P1_core_required,M,high,medium,"Build source-prioritized binder loader with deduplication, unit normalization, and provenance.","Tests for local seed, mocked ChEMBL, missing BindingDB, unit normalization, deduplication, and no invented SMILES.",May claim local curated/demo binder retrieval only.,May claim evidence-backed binder retrieval per database when wrapper succeeds and source is recorded.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if local demo binders are described as mined from ChEMBL/BindingDB/PubChem without successful call evidence.
3,Warhead Selection Agent,synglue_agent/agents/warhead_agent.py; synglue_agent/tools/warhead_selector.py,WarheadSelectionAgent.run; ProtacDesignToolbox.select_warheads,"TargetRecord, list[BinderRecord], optional user warhead SMILES",list[WarheadRecord],heuristic_stub,"yes, selected warhead records may be produced",heuristic scoring,"Potency, derivatization, source confidence, and exit-vector confidence are deterministic heuristics over local fields.",Warhead evidence model with curated exit-vector annotations and validated assay provenance,"PROTAC-Splitter, local warhead curation, ChEMBL/BindingDB mining","ChEMBL, BindingDB, PROTAC-DB, PROTACpedia","RDKit validation, curated exit-vector map, normalized assay schema",P1_core_required,M,high,medium,Separate measured potency evidence from heuristic derivatization/exit-vector scores.,"Tests for potency ranking, missing activity, user-provided warhead, attachment-marker warnings, provenance preservation.",May claim heuristic warhead prioritization.,May claim evidence-backed warhead ranking after assay provenance and exit-vector map validation.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if heuristic derivatization or exit-vector confidence is presented as experimentally validated.
4,Exit Vector Agent,synglue_agent/agents/exit_vector_agent.py; synglue_agent/tools/exit_vector_detector.py,ExitVectorDetectionAgent.run; detect_exit_vectors,"list[WarheadRecord], list[E3LigandRecord], role",list[ExitVectorRecord],heuristic_stub,"yes, attachment annotations may be produced",heuristic/local marker detection,Detects explicit dummy atoms or emits ambiguity warning; no structural or reaction-context exit-vector mapping is run.,Curated attachment-site map with RDKit atom mapping and chemist-review status,"PROTAC-Splitter, RDKit, curated component maps","PROTAC-DB, PROTACpedia, ChEMBL structures","RDKit, curated exit-vector CSV/schema",P1_core_required,M,high,medium,Create validated exit-vector map loader and atom-index provenance.,"Tests for explicit dummy atoms, missing markers, curated overrides, invalid SMILES, and warning propagation.",May claim attachment hypotheses only.,May claim curated or atom-mapped exit vectors when validated maps exist.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if ambiguous marker detection is reported as confirmed attachment chemistry.
5,E3 Ligand Agent,synglue_agent/agents/e3_agent.py; synglue_agent/tools/e3_selector.py,E3LigandSelectionAgent.run; select_e3_ligands,"ParsedObjective.e3_ligase, optional e3_ligand_smiles",list[E3LigandRecord],local_demo_data_only,"yes, local E3 ligand records may be returned",local curated table,Uses local curated CRBN/VHL/IAP/MDM2 handles; no expression or cell-context database is queried.,Validated E3 ligand catalog plus context-aware E3 expression/source checks,"local curated_e3_ligands.csv, DepMap/HPA wrappers planned","PROTAC-DB, PROTACpedia, DepMap, Human Protein Atlas, ProteomicsDB","RDKit, validated E3 ligand schema, optional expression loaders",P1_core_required,S,high,medium,Validate E3 table schema and add tissue/cell-line expression provenance fields.,"Tests for E3 selection, user ligand path, stereochemistry flag, source confidence, and expression-not-run labels.",May claim local curated E3 ligand selection.,May claim context-aware E3 selection when expression/source wrappers run.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if E3 expression or cell-context suitability is claimed without expression database evidence.
6,Linker Generation Agent,synglue_agent/agents/linker_agent.py; synglue_agent/tools/linker_generator.py,LinkerGenerationAgent.run; generate_state_of_the_art_linker_panel,"preferred_linker_types, candidate_count",list[LinkerRecord],local_demo_data_only,"yes, curated/rule-based linker records may be returned",local curated plus rule-based enumeration,Generates from curated CSV and deterministic patterns; LinkInvent/DiffLinker/DeLinker are not run.,Validated linker library plus optional generative linker wrapper with constraints,"Protac-invent/LinkInvent, PROTAC-RL, ProtacGPT, AIMLinker, DiffLinker-style tools","PROTAC-DB, PROTACpedia, local curated_linkers.csv","RDKit, optional model envs after manual review",P1_core_required,M,high,low,"Add schema checks, source labels, and RDKit validation for linker records before assembly.","Tests for linker class filtering, fallback generation, duplicate removal, provenance, and no model-generation claims.",May claim curated/rule-based linker panel.,May claim generative linker output only after actual model wrapper execution and provenance.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if rule-based linkers are described as LinkInvent/DiffLinker model-generated.
7,Construction / Assembly Agent,synglue_agent/agents/construction_agent.py; synglue_agent/tools/molecular_constructor.py,MolecularConstructionAgent.run; CandidateValidationAgent.run; construct_protac_candidates,"WarheadRecord, LinkerRecord, E3LigandRecord, TargetRecord","ConstructionAttempt, CandidateRecord",executable_not_tested,"yes, candidate records may be assembled and validated","deterministic assembly; RDKit if available, fallback otherwise",Named strategies share the same assembly path; route feasibility and reaction chemistry are not proven.,RDKit/RDChiral reaction assembly with atom mapping and explicit validation gates,"RDKit, RDChiral, PROTAC-Splitter, reaction SMARTS engine","PROTAC-DB, PROTACpedia, purchasable building-block sources","RDKit, RDChiral optional, curated reaction SMARTS",P1_core_required,L,high,medium,"Gate assembly on validated dummy atoms, RDKit sanitization, and strategy-specific provenance.","Tests for RDKit join, missing markers, duplicate canonical SMILES, invalid outputs, and fallback labeling.",May claim deterministic candidate assembly/validation status only.,May claim chemically validated assembly after RDKit/RDChiral route checks pass.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if string fallback assembly is described as chemically validated construction.
8,DC50 Prediction Agent,synglue_agent/agents/prediction_agent.py; synglue_agent/tools/degradation_predictor.py,DegradationPredictionAgent.run; predict_degradation; predict_dc50_dmax,"list[CandidateRecord], TargetRecord, optional cell/assay context",DegradationPrediction.predicted_dc50_nM,heuristic_stub,"no, heuristic demo value only",heuristic_stub,Current default DC50 values come from SynGlue-demo-heuristic-v0.1 or missing model wrapper; not a trained model prediction.,Validated trained DC50 model wrapper with uncertainty and applicability domain,"PROTAC-Degradation-Predictor, DeepPROTACs, PROTAC-STAN, Machine-Learning-for-Predicting-Targeted-Protein-Degradation, Chemprop","public PROTAC degradation datasets, PROTAC-DB, PROTACpedia","model artifact, featurizer, calibration metadata, RDKit descriptors",P0_truthfulness_fix,L,critical,high,Rename/report as heuristic_dc50_nM until trained model is loaded; require model provenance fields.,"Forbidden-claim test plus missing-model test, tiny fixture model test, AD test, report label test.",May claim heuristic exploratory DC50 proxy only.,"May claim trained DC50 prediction only with model file, version, training metadata, uncertainty, and AD.","Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if heuristic DC50/Dmax is described as a trained model prediction.
9,Dmax Prediction Agent,synglue_agent/agents/prediction_agent.py; synglue_agent/tools/degradation_predictor.py,DegradationPredictionAgent.run; predict_degradation; predict_dc50_dmax,"list[CandidateRecord], TargetRecord, optional cell/assay context",DegradationPrediction.predicted_dmax_percent,heuristic_stub,"no, heuristic demo value only",heuristic_stub,Current Dmax values are heuristic demo outputs and not calibrated against a trained Dmax model.,Validated trained Dmax model wrapper with uncertainty and applicability domain,"PROTAC-Degradation-Predictor, DeepPROTACs, PROTAC-STAN, PROTAC-Model_benchmark","public PROTAC degradation datasets, PROTAC-DB, PROTACpedia","model artifact, assay-context metadata, calibration metadata",P0_truthfulness_fix,L,critical,high,Rename/report as heuristic_dmax_percent until trained model is loaded; require score provenance.,"Forbidden-claim test plus model-missing, fixture-model, uncertainty, and report table tests.",May claim heuristic exploratory Dmax proxy only.,May claim trained Dmax prediction only with model/version/evidence/uncertainty recorded.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if heuristic DC50/Dmax is described as a trained model prediction.
10,ADME/Tox Agent,synglue_agent/agents/admet_agent.py; synglue_agent/tools/admet_predictors.py,ADMETAgent.run; predict_admet; run_rule_based_admet_flags,list[CandidateRecord] or SMILES,list[ADMETPrediction],heuristic_stub,"partially: RDKit descriptors may be real, endpoint risks are descriptor/rule/heuristic unless model/API used",heuristic/rule-based endpoint triage,Endpoint labels such as hERG/AMES/DILI are not ML/API predictions unless backend says local_model or external_api.,Validated ADME/Tox endpoint wrappers and explicit descriptor-only fallback,"ADMETlab, SwissADME, pkCSM, ProTox-II, TDC/DeepPurpose, OpenADMET, Chemprop","ADMET public datasets, TDC, SwissADME/ADMETlab/pkCSM/ProTox-II","RDKit, optional local models/API credentials after approval",P0_truthfulness_fix,L,critical,high,Split RDKit descriptors from endpoint-risk predictions and require backend-specific evidence_type.,"Forbidden-claim tests for ML/API wording, descriptor-only outputs, backend labels, and candidate score provenance.",May claim RDKit descriptors or descriptor-rule ADME/Tox triage only.,May claim ML/API endpoint prediction only when backend and model/API provenance are present.,"Require score-level provenance object with score_name, score_value, evidence_type, tool_status, source_tool_or_database, source_file_or_url, model_version, run_timestamp, input_hash, limitations, confidence, uncertainty, applicability_domain, claim_allowed.","Use trained_model, external_api, local_database, rdkit_descriptor, heuristic_proxy, not_run, or missing.",Use one required status label; executable_not_tested must never be summarized as executable_verified.,Record confidence plus uncertainty/applicability_domain; use null with limitation when unavailable.,Fail if ADME/Tox endpoint risk is described as ML/API-predicted when backend is descriptor/rule/heuristic.
