repo_name,github_url,local_path,clone_status,install_method_detected,has_license,has_readme,likely_language,notes,recommended_next_step,detected_dependency_files,copied_env_specs,repo_category,log_file
PROTAC-RL,https://github.com/biomed-AI/PROTAC-RL,data/protac_repos/repos/PROTAC-RL,cloned,Create separate conda/mamba environment,True,True,Python,"Repository cloned successfully.; Detected files: environment.yml; README install hints: ## Install requirements | To install all the Python packages, create a new conda environment: | conda env create -f environment.yml | conda activate PROTAC-RL; Copied env specs: 1; Category: model",Create separate conda/mamba environment,environment.yml,data/protac_repos/env_specs/PROTAC-RL__environment.yml,model,data/protac_repos/logs/PROTAC-RL.log
DeepPROTACs,https://github.com/Fenglei104/DeepPROTACs,data/protac_repos/repos/DeepPROTACs,cloned,Manual inspection required,True,True,Python,"Repository cloned successfully.; No standard dependency files detected; README install hints: 3. Prepare the environment. Here we export our anaconda environment as the file ""env.yaml"". You can use the command: | conda env create -f env.yaml | conda activate DeepPROTACs | Besides, we highly recommond to install openbabel (2.3.2) (https://openbabel.org/wiki/Main_Page) and preprocess the mol2 files. | apt install openbabel; Category: manual review",Manual inspection required,,,manual review,data/protac_repos/logs/DeepPROTACs.log
PROTAC-Model,https://github.com/gaoqiweng/PROTAC-Model,data/protac_repos/repos/PROTAC-Model,cloned,Manual inspection required,False,False,Python,Repository cloned successfully.; No standard dependency files detected; Category: model,Manual inspection required,,,model,data/protac_repos/logs/PROTAC-Model.log
PROTACFold,https://github.com/NilsDunlop/PROTACFold,data/protac_repos/repos/PROTACFold,cloned,Create separate Python venv and install requirements there,True,True,Python,"Repository cloned successfully.; Detected files: requirements.txt; README install hints: - [Installation](#installation) | - [AlphaFold 3 Setup (Docker Recommended)](#alphafold-3-setup-docker-recommended) | - [Manual Installation](#manual-installation) | ## Installation | - Docker (recommended for AlphaFold 3 setup) | ### AlphaFold 3 Setup (Docker Recommended) | Our detailed instructions for setting up AlphaFold 3 using Docker can be found in the [installation guide](docs/installation_docker.md). For reference, you can also consult the official [AlphaFold 3 documentation](https://gi; Copied env specs: 1; Category: ternary-complex/docking",Create separate Python venv and install requirements there,requirements.txt,data/protac_repos/env_specs/PROTACFold__requirements.txt,ternary-complex/docking,data/protac_repos/logs/PROTACFold.log
PROTACable,https://github.com/giaguaro/PROTACable,data/protac_repos/repos/PROTACable,cloned,Manual inspection required,True,True,Python,Repository cloned successfully.; No standard dependency files detected; README install hints: - [Requirements](#requirements) | - [Installation](#installation) | ## Requirements | Different stages of PROTACable pipeline have variable set of requirements. | ### Conda environment: | * See [Installation](#installation) below. | ## Installation | ### Conda environment:; Category: manual review,Manual inspection required,,,manual review,data/protac_repos/logs/PROTACable.log
Protac-invent,https://github.com/jidushanbojue/Protac-invent,data/protac_repos/repos/Protac-invent,cloned,Isolated Docker build later after manual review,True,True,Python,"Repository cloned successfully.; Detected files: Dockerfile; README install hints: Installation | 1. Install [Conda](https://conda.io/projects/conda/en/latest/index.html) | 3. Open a shell, and go to the repository and create the Conda environment: | $ conda env create -f reinvent.yml | $ conda activate reinvent.v3.2 | 5. Install in-house reinvent_scoring | $ pip install reinvent_scoring-0.0.73_bq-py3-none-any.whl | $ conda env create -f environment.yml; Copied env specs: 1; Category: model; ternary-complex/docking",Isolated Docker build later after manual review,Dockerfile,data/protac_repos/env_specs/Protac-invent__Dockerfile,model; ternary-complex/docking,data/protac_repos/logs/Protac-invent.log
PROTAC-Splitter,https://github.com/ribesstefano/PROTAC-Splitter,data/protac_repos/repos/PROTAC-Splitter,cloned,Create separate Python venv and install requirements there,False,True,Python,"Repository cloned successfully.; Detected files: requirements.txt, setup.py; README install hints: - [Installation](#installation) | ## Installation 🛠️ | The package was developed and tested in Python 3.10.8. Always use a virtual environment to install the package. | pip install -r requirements.txt | pip install -r scripts/requirements.txt | Alternatively, you can install the package using pip (again, in a virtual environment): | pip install git+https://github.com/ribesstefano/PROTAC-Splitter.git; Copied env specs: 2; Category: molecular processing utility",Create separate Python venv and install requirements there,"requirements.txt, setup.py","data/protac_repos/env_specs/PROTAC-Splitter__requirements.txt, data/protac_repos/env_specs/PROTAC-Splitter__setup.py",molecular processing utility,data/protac_repos/logs/PROTAC-Splitter.log
PROTAC_ternary,https://github.com/karanicolaslab/PROTAC_ternary,data/protac_repos/repos/PROTAC_ternary,cloned,Manual inspection required,True,True,Python,Repository cloned successfully.; No standard dependency files detected; Category: ternary-complex/docking,Manual inspection required,,,ternary-complex/docking,data/protac_repos/logs/PROTAC_ternary.log
ProTACT,https://github.com/doheejin/ProTACT,data/protac_repos/repos/ProTACT,cloned,Manual inspection required,True,True,Python,Repository cloned successfully.; No standard dependency files detected; README install hints: ## Package Requirements | Install below packages in your virtual environment before running the code.; Category: manual review,Manual inspection required,,,manual review,data/protac_repos/logs/ProTACT.log
PROTAC-STAN,https://github.com/PROTACs/PROTAC-STAN,data/protac_repos/repos/PROTAC-STAN,cloned,Manual inspection required,True,True,Python,Repository cloned successfully.; No standard dependency files detected; README install hints: ## System requirements | The full requirements are provided in `protac-stan.yml` | ## Installation guide | It normally takes about 10 minutes to install on a normal desktop computer (based on your network). | 1. Create Conda environment | conda create -n protac-stan python=3.11.5 | conda activate protac-stan | 2. Install Pytorch; Category: model,Manual inspection required,,,model,data/protac_repos/logs/PROTAC-STAN.log
