repo_name,github_url,local_path,clone_status,dependency_files_detected,env_strategy,safe_env_name,command_file_section,manual_review_required,install_priority,notes
PROTAC-RL,https://github.com/biomed-AI/PROTAC-RL,data/protac_repos/repos/PROTAC-RL,cloned,"environment.yml, README.md, LICENSE",conda/mamba,protac-rl,phase2-rl,False,High,"README install hints: ## Install requirements | Python packages listed in environment.yml | To install all the Python packages, create a new conda environment: | conda env create -f environment.yml | conda activate PROTAC-RL; clear static dependency markers detected"
DeepPROTACs,https://github.com/Fenglei104/DeepPROTACs,data/protac_repos/repos/DeepPROTACs,cloned,"README.md, LICENSE",manual inspection required,protac-deepprotacs,phase2-deepprotacs,True,Medium,"README install hints: 3. Prepare the environment. Here we export our anaconda environment as the file ""env.yaml"". You can use the command: | conda env create -f env.yaml | conda activate DeepPROTACs | to get the same environment. Also, we use an RTX3090 to accelerate our | Besides, we highly recommond to install openbabel (2.3.2) (https://openbabel.org/wiki/Main_Page) and preprocess the mol2 files. | apt install openbabel; no standard dependency files detected; dataset/notebook or benchmark-style repository likely"
PROTAC-Model,https://github.com/gaoqiweng/PROTAC-Model,data/protac_repos/repos/PROTAC-Model,cloned,,manual inspection required,protac-model,phase2-model,True,Manual,README.md not detected; no standard dependency files detected
PROTACFold,https://github.com/NilsDunlop/PROTACFold,data/protac_repos/repos/PROTACFold,cloned,"requirements.txt, README.md, LICENSE",venv/pip,protac-protacfold,phase2-protacfold,True,Manual,README install hints: - [Installation](#installation) | - [AlphaFold 3 Setup (Docker Recommended)](#alphafold-3-setup-docker-recommended) | - [Manual Installation](#manual-installation) | ## Installation | - Docker (recommended for AlphaFold 3 setup) | ### AlphaFold 3 Setup (Docker Recommended); heavy docking/GPU/training/ternary-complex keywords detected
PROTACable,https://github.com/giaguaro/PROTACable,data/protac_repos/repos/PROTACable,cloned,"README.md, LICENSE",manual inspection required,protac-protacable,phase2-protacable,True,Medium,"README install hints: - [Requirements](#requirements) | - [Installation](#installation) | The concept of an end-to-end in silico pipeline is quite enticing. You may only find it in biotech specialized for this type of task. Now we offer this to the public as an accessible package. Yes, you can now design and validate in silico your PROTACs with limited knowledge of PROTACs. And you can do it affordably and at a high quality similar to high-end companies. This is the culmination of 3 years of dedicated work. | #### ***We kindly ask you that if you find this pipeline useful to cite us appropriately.*** | Architecture of the PROTACable pipeline. | ## Requirements; no standard dependency files detected"
Protac-invent,https://github.com/jidushanbojue/Protac-invent,data/protac_repos/repos/Protac-invent,cloned,"Dockerfile, README.md, LICENSE",docker-manual-review,protac-invent,phase2-invent,True,Manual,"README install hints: Installation | 1. Install [Conda](https://conda.io/projects/conda/en/latest/index.html) | 3. Open a shell, and go to the repository and create the Conda environment: | $ conda env create -f reinvent.yml | 4. Activate the environment: | $ conda activate reinvent.v3.2; Dockerfile detected; review Docker context before building; heavy docking/GPU/training/ternary-complex keywords detected"
PROTAC-Splitter,https://github.com/ribesstefano/PROTAC-Splitter,data/protac_repos/repos/PROTAC-Splitter,cloned,"requirements.txt, setup.py, README.md",venv/pip; editable-venv,protac-splitter,phase2-splitter,False,High,"README install hints: - [Installation](#installation) | ## Installation 🛠️ | The package was developed and tested in Python 3.10.8. Always use a virtual environment to install the package. | pip install -r requirements.txt | pip install -r scripts/requirements.txt | Alternatively, you can install the package using pip (again, in a virtual environment):; dataset/notebook or benchmark-style repository likely"
PROTAC_ternary,https://github.com/karanicolaslab/PROTAC_ternary,data/protac_repos/repos/PROTAC_ternary,cloned,"README.md, LICENSE",manual inspection required,protac-ternary,phase2-ternary,True,Manual,README install hints: The `-extra_res_fa ligand1.params ligand2_params` will be the same as the initial docking submission at the beginning of the pipeline; heavy docking/GPU/training/ternary-complex keywords detected; no standard dependency files detected
ProTACT,https://github.com/doheejin/ProTACT,data/protac_repos/repos/ProTACT,cloned,"README.md, LICENSE",manual inspection required,protac-protact,phase2-protact,True,Medium,README install hints: ## Package Requirements | Install below packages in your virtual environment before running the code.; no standard dependency files detected
PROTAC-STAN,https://github.com/PROTACs/PROTAC-STAN,data/protac_repos/repos/PROTAC-STAN,cloned,"README.md, LICENSE",manual inspection required,protac-stan,phase2-stan,True,Manual,"README install hints: We provide PROTAC-STAN running demo through a Jupyter notebook `demo.ipynb`. Note it is based on a small demo dataset of PROTAC-fine. This demo only takes about 5 minutes to complete the whole pipeline. For running PROTAC-STAN on the full dataset, we advise GPU ram >= 8GB and CPU ram >= 16GB. | ## System requirements | The full requirements are provided in `protac-stan.yml` | ## Installation guide | It normally takes about 10 minutes to install on a normal desktop computer (based on your network). | 1. Create Conda environment; heavy docking/GPU/training/ternary-complex keywords detected; no standard dependency files detected; dataset/notebook or benchmark-style repository likely"
